2.41428,373.287,489.857,-161.044,9.06085,-99.9495
1.80768,372.512,488.625,-162.315,8.51559,-98.7026
1.21743,371.727,487.451,-163.265,8.22203,-98.0033
0.726236,371.044,486.439,-165.653,7.85144,-96.3972
0.356567,370.505,485.569,-168.414,7.85187,-94.4131
-0.0131019,369.965,484.7,-168.414,7.85187,-94.4131
-0.343982,369.483,483.908,-169.842,7.97568,-93.3598
-0.589049,369.068,483.253,-172.642,8.4574,-91.1761
-0.78473,368.668,482.651,-174.007,8.77266,-90.0865
-0.897126,368.274,482.15,-176.647,9.40716,-88.0316
-1.00952,367.88,481.649,-176.647,9.40716,-88.0316
-1.04285,367.503,481.232,-179.136,9.9886,-86.1205
-1.05312,367.144,480.85,179.68,10.2497,-85.2394
-1.02739,366.831,480.525,177.455,10.7053,-83.5762
-1.00167,366.518,480.199,177.455,10.7053,-83.5762
-0.953405,366.232,479.896,176.413,10.9038,-82.7696
-0.874921,366.006,479.64,174.406,11.2692,-81.1995
-0.80209,365.828,479.428,172.49,11.5905,-79.7135
-0.735532,365.666,479.229,171.558,11.7364,-78.9871
-0.668974,365.504,479.03,171.558,11.7364,-78.9871
-0.596104,365.359,478.842,169.73,12.0292,-77.5624
-0.520067,365.217,478.67,168.831,12.1493,-76.8711
-0.4482,365.086,478.527,167.103,12.3546,-75.5757
-0.376333,364.954,478.385,167.103,12.3546,-75.5757
-0.30073,364.822,478.254,165.516,12.5209,-74.3905
-0.217017,364.687,478.127,164.804,12.5739,-73.8545
-0.120148,364.547,478.006,163.561,12.6211,-72.9207
-0.0197975,364.401,477.882,163.036,12.637,-72.5227
0.0805529,364.255,477.758,163.036,12.637,-72.5227
0.191108,364.106,477.641,162.164,12.6381,-71.851
0.313256,363.955,477.532,161.492,12.6137,-71.315
0.43651,363.809,477.43,161.228,12.6034,-71.0865
0.575195,363.679,477.344,160.802,12.5685,-70.6957
0.713881,363.549,477.257,160.802,12.5685,-70.6957
0.860524,363.426,477.177,160.634,12.5537,-70.5202
0.999888,363.313,477.106,160.372,12.5112,-70.2289
1.1334,363.201,477.037,160.195,12.4768,-70.0011
1.2669,363.088,476.969,160.195,12.4768,-70.0011
1.3995,362.981,476.902,160.141,12.4621,-69.913
1.52916,362.887,476.851,160.085,12.437,-69.7714
1.65908,362.8,476.804,160.078,12.4263,-69.7152
1.77644,362.726,476.771,160.084,12.399,-69.6192
1.89381,362.652,476.737,160.084,12.399,-69.6192
1.98533,362.586,476.713,160.106,12.3427,-69.5676
2.06725,362.525,476.692,160.125,12.3054,-69.5498
2.13623,362.474,476.676,160.173,12.1715,-69.5195
2.2052,362.423,476.661,160.173,12.1715,-69.5195
2.26774,362.372,476.644,160.194,12.0433,-69.5155
2.32274,362.308,476.612,160.238,11.6586,-69.5178
2.39539,362.228,476.579,160.317,11.0374,-69.5799
2.47604,362.147,476.552,160.378,10.6176,-69.6419
2.55669,362.066,476.524,160.378,10.6176,-69.6419
2.65202,361.974,476.484,160.585,9.62178,-69.8091
2.75446,361.883,476.44,160.727,9.0646,-69.9112
2.87174,361.802,476.381,161.038,7.89493,-70.1209
2.98901,361.721,476.322,161.038,7.89493,-70.1209
3.13534,361.663,476.258,161.306,6.72519,-70.342
3.28629,361.617,476.196,161.421,6.12467,-70.4628
3.42773,361.579,476.125,161.625,4.85479,-70.7477
3.55524,361.549,476.046,161.744,4.20731,-70.9089
3.68276,361.519,475.967,161.744,4.20731,-70.9089
3.78765,361.499,475.878,162.034,2.86522,-71.2719
3.87746,361.477,475.806,162.396,1.50633,-71.6767
3.96429,361.458,475.737,162.6,0.869694,-71.88
4.04356,361.441,475.658,162.991,-0.323348,-72.297
